se;entao;sup;conf;lift
C2_ControlesPos=Alto & D3_GerirPlaylists=Alto;E3_Estetica=Alto;0.209;0.947;1.509
A4_CancelarAcao=Alto & D4_AdaptaUso=Alto;D3_GerirPlaylists=Alto;0.291;0.806;1.508
B2_IconesEsperados=Alto & E4_HomeRelevante=Alto;D3_GerirPlaylists=Alto;0.291;0.806;1.508
E3_Estetica=Alto & E4_HomeRelevante=Alto;C1_SemAcidente=Alto;0.291;0.806;1.508
E4_HomeRelevante=Alto;D3_GerirPlaylists=Alto;0.337;0.806;1.506
D2_Recomendacoes=Alto & E1_SemDistracao=Alto;D4_AdaptaUso=Alto;0.244;0.875;1.505
B2_IconesEsperados=Alto & D3_GerirPlaylists=Alto;B4_AcharAposUpd=Alto;0.36;0.838;1.501
B3_LayoutConsist=Alto;E2_InfoVisivel=Alto & E3_Estetica=Alto;0.465;0.889;1.499
B2_IconesEsperados=Alto & E4_HomeRelevante=Alto;D4_AdaptaUso=Alto;0.314;0.871;1.498
A5_RespeitaConfig=Alto & B3_LayoutConsist=Alto;E3_Estetica=Alto;0.36;0.939;1.496
B3_LayoutConsist=Alto & B4_AcharAposUpd=Alto;D3_GerirPlaylists=Alto;0.326;0.8;1.496
C3_SugestoesBusca=Alto & E3_Estetica=Alto;D3_GerirPlaylists=Alto;0.372;0.8;1.496
D1_AcoesRapidas=Alto & E1_SemDistracao=Alto;D4_AdaptaUso=Alto;0.302;0.867;1.491
D2_Recomendacoes=Alto & D3_GerirPlaylists=Alto;D4_AdaptaUso=Alto;0.302;0.867;1.491
B3_LayoutConsist=Alto & E1_SemDistracao=Alto;B4_AcharAposUpd=Alto;0.279;0.828;1.483
B3_LayoutConsist=Alto & E1_SemDistracao=Alto;D4_AdaptaUso=Alto;0.291;0.862;1.483
D3_GerirPlaylists=Alto & E4_HomeRelevante=Alto;B4_AcharAposUpd=Alto;0.279;0.828;1.483
C4_AvisoPerda=Alto & D2_Recomendacoes=Alto;D1_AcoesRapidas=Alto;0.233;1.0;1.483
D2_Recomendacoes=Alto & E4_HomeRelevante=Alto;D1_AcoesRapidas=Alto;0.279;1.0;1.483
D3_GerirPlaylists=Alto & E4_HomeRelevante=Alto;E3_Estetica=Alto;0.314;0.931;1.483
B3_LayoutConsist=Alto & E2_InfoVisivel=Alto;E3_Estetica=Alto;0.465;0.93;1.481
E4_HomeRelevante=Alto;D4_AdaptaUso=Alto;0.36;0.861;1.481
A4_CancelarAcao=Alto & E1_SemDistracao=Alto;E3_Estetica=Alto;0.302;0.929;1.479
A4_CancelarAcao=Alto & E4_HomeRelevante=Alto;E3_Estetica=Alto;0.302;0.929;1.479
A5_RespeitaConfig=Alto & E1_SemDistracao=Alto;E3_Estetica=Alto;0.302;0.929;1.479
B3_LayoutConsist=Alto & D3_GerirPlaylists=Alto;B4_AcharAposUpd=Alto;0.326;0.824;1.475
A5_RespeitaConfig=Alto & E4_HomeRelevante=Alto;E3_Estetica=Alto;0.291;0.926;1.475
B4_AcharAposUpd=Alto & E4_HomeRelevante=Alto;E3_Estetica=Alto;0.291;0.926;1.475
A4_CancelarAcao=Alto & E1_SemDistracao=Alto;D4_AdaptaUso=Alto;0.279;0.857;1.474
E1_SemDistracao=Alto;D4_AdaptaUso=Alto & E2_InfoVisivel=Alto;0.337;0.806;1.474
E4_HomeRelevante=Alto;D4_AdaptaUso=Alto & E2_InfoVisivel=Alto;0.337;0.806;1.474
B3_LayoutConsist=Alto;B2_IconesEsperados=Alto & D1_AcoesRapidas=Alto;0.43;0.822;1.473
A4_CancelarAcao=Alto & E1_SemDistracao=Alto;B4_AcharAposUpd=Alto;0.267;0.821;1.472
A5_RespeitaConfig=Alto & E1_SemDistracao=Alto;B4_AcharAposUpd=Alto;0.267;0.821;1.472
B1_SemelhApps=Alto & E4_HomeRelevante=Alto;B4_AcharAposUpd=Alto;0.267;0.821;1.472
B1_SemelhApps=Alto & B3_LayoutConsist=Alto;B4_AcharAposUpd=Alto;0.372;0.821;1.47
B1_SemelhApps=Alto & B3_LayoutConsist=Alto;E3_Estetica=Alto;0.419;0.923;1.47
B4_AcharAposUpd=Alto & E1_SemDistracao=Alto;E3_Estetica=Alto;0.279;0.923;1.47
E1_SemDistracao=Alto & E2_InfoVisivel=Alto;D4_AdaptaUso=Alto;0.337;0.853;1.467
B3_LayoutConsist=Alto & D4_AdaptaUso=Alto;B4_AcharAposUpd=Alto;0.314;0.818;1.466
C1_SemAcidente=Alto & D3_GerirPlaylists=Alto;B4_AcharAposUpd=Alto;0.314;0.818;1.466
A5_RespeitaConfig=Alto & E4_HomeRelevante=Alto;D4_AdaptaUso=Alto;0.267;0.852;1.465
B3_LayoutConsist=Alto & C4_AvisoPerda=Alto;E3_Estetica=Alto;0.267;0.92;1.465
B4_AcharAposUpd=Alto & C4_AvisoPerda=Alto;E3_Estetica=Alto;0.267;0.92;1.465
B3_LayoutConsist=Alto & D1_AcoesRapidas=Alto;B4_AcharAposUpd=Alto;0.36;0.816;1.462
A5_RespeitaConfig=Alto & C1_SemAcidente=Alto;E3_Estetica=Alto;0.372;0.914;1.456
B3_LayoutConsist=Alto & B4_AcharAposUpd=Alto;E3_Estetica=Alto;0.372;0.914;1.456
D3_GerirPlaylists=Alto & E3_Estetica=Alto;D4_AdaptaUso=Alto;0.384;0.846;1.455
B3_LayoutConsist=Alto & D3_GerirPlaylists=Alto;E3_Estetica=Alto;0.36;0.912;1.452
E1_SemDistracao=Alto & E2_InfoVisivel=Alto;E3_Estetica=Alto;0.36;0.912;1.452
E1_SemDistracao=Alto;E2_InfoVisivel=Alto & E3_Estetica=Alto;0.36;0.861;1.452
B2_IconesEsperados=Alto & E1_SemDistracao=Alto;D4_AdaptaUso=Alto;0.314;0.844;1.451
E1_SemDistracao=Alto & E3_Estetica=Alto;D4_AdaptaUso=Alto;0.314;0.844;1.451
B3_LayoutConsist=Alto;E3_Estetica=Alto;0.477;0.911;1.451
A5_RespeitaConfig=Alto & D1_AcoesRapidas=Alto;B4_AcharAposUpd=Alto;0.395;0.81;1.45
B2_IconesEsperados=Alto & B3_LayoutConsist=Alto;E3_Estetica=Alto;0.465;0.909;1.448
B4_AcharAposUpd=Alto & C1_SemAcidente=Alto;E3_Estetica=Alto;0.349;0.909;1.448
C1_SemAcidente=Alto & D3_GerirPlaylists=Alto;E3_Estetica=Alto;0.349;0.909;1.448
A4_CancelarAcao=Alto & D3_GerirPlaylists=Alto;B4_AcharAposUpd=Alto;0.291;0.806;1.445
B2_IconesEsperados=Alto & E4_HomeRelevante=Alto;B4_AcharAposUpd=Alto;0.291;0.806;1.445
C1_SemAcidente=Alto & D4_AdaptaUso=Alto;B4_AcharAposUpd=Alto;0.291;0.806;1.445
E3_Estetica=Alto & E4_HomeRelevante=Alto;B4_AcharAposUpd=Alto;0.291;0.806;1.445
B3_LayoutConsist=Alto & C4_AvisoPerda=Alto;D4_AdaptaUso=Alto;0.244;0.84;1.445
A4_CancelarAcao=Alto & B3_LayoutConsist=Alto;E3_Estetica=Alto;0.337;0.906;1.443
B2_IconesEsperados=Alto & E1_SemDistracao=Alto;E3_Estetica=Alto;0.337;0.906;1.443
B3_LayoutConsist=Alto & C3_SugestoesBusca=Alto;B4_AcharAposUpd=Alto;0.337;0.806;1.443
D1_AcoesRapidas=Alto & E4_HomeRelevante=Alto;E3_Estetica=Alto;0.337;0.906;1.443
B1_SemelhApps=Alto & E1_SemDistracao=Alto;D4_AdaptaUso=Alto;0.302;0.839;1.443
B1_SemelhApps=Alto & D5_TelasLimpas=Alto;E3_Estetica=Alto;0.221;0.905;1.441
B3_LayoutConsist=Alto & C1_SemAcidente=Alto;E3_Estetica=Alto;0.326;0.903;1.438
D4_AdaptaUso=Alto & E4_HomeRelevante=Alto;E3_Estetica=Alto;0.326;0.903;1.438
A4_CancelarAcao=Alto & C1_SemAcidente=Alto;E3_Estetica=Alto;0.314;0.9;1.433
A5_RespeitaConfig=Alto & C1_SemAcidente=Alto;B4_AcharAposUpd=Alto;0.326;0.8;1.433
