se;entao;sup;conf;lift
A5_RespeitaConfig=Alto & B4_AcharAposUpd=Alto;B1_SemelhApps=Alto;0.384;0.846;1.174
B4_AcharAposUpd=Alto & D1_AcoesRapidas=Alto;B1_SemelhApps=Alto;0.384;0.846;1.174
A4_CancelarAcao=Alto & B3_LayoutConsist=Alto;E2_InfoVisivel=Alto;0.36;0.969;1.173
B2_IconesEsperados=Alto & C4_AvisoPerda=Alto;E2_InfoVisivel=Alto;0.36;0.969;1.173
D2_Recomendacoes=Alto & D4_AdaptaUso=Alto;E2_InfoVisivel=Alto;0.36;0.969;1.173
D2_Recomendacoes=Alto & E3_Estetica=Alto;E2_InfoVisivel=Alto;0.36;0.969;1.173
E1_SemDistracao=Alto & E3_Estetica=Alto;E2_InfoVisivel=Alto;0.36;0.969;1.173
A4_CancelarAcao=Alto & D4_AdaptaUso=Alto;E2_InfoVisivel=Alto;0.349;0.968;1.172
B1_SemelhApps=Alto & E1_SemDistracao=Alto;E2_InfoVisivel=Alto;0.349;0.968;1.172
B3_LayoutConsist=Alto & C1_SemAcidente=Alto;E2_InfoVisivel=Alto;0.349;0.968;1.172
C1_SemAcidente=Alto & D4_AdaptaUso=Alto;E2_InfoVisivel=Alto;0.349;0.968;1.172
B1_SemelhApps=Alto & E2_InfoVisivel=Alto;B2_IconesEsperados=Alto;0.605;0.912;1.171
B3_LayoutConsist=Alto & D2_Recomendacoes=Alto;E2_InfoVisivel=Alto;0.337;0.967;1.171
C4_AvisoPerda=Alto & E3_Estetica=Alto;E2_InfoVisivel=Alto;0.337;0.967;1.171
D4_AdaptaUso=Alto & E1_SemDistracao=Alto;E2_InfoVisivel=Alto;0.337;0.967;1.171
D2_Recomendacoes=Alto & D4_AdaptaUso=Alto;B1_SemelhApps=Alto;0.314;0.844;1.17
D2_Recomendacoes=Alto & E3_Estetica=Alto;B1_SemelhApps=Alto;0.314;0.844;1.17
E1_SemDistracao=Alto & E3_Estetica=Alto;B1_SemelhApps=Alto;0.314;0.844;1.17
B4_AcharAposUpd=Alto & D3_GerirPlaylists=Alto;B2_IconesEsperados=Alto;0.36;0.912;1.17
C1_SemAcidente=Alto & C3_SugestoesBusca=Alto;B2_IconesEsperados=Alto;0.36;0.912;1.17
A4_CancelarAcao=Alto;B2_IconesEsperados=Alto;0.477;0.911;1.169
C1_SemAcidente=Alto & E3_Estetica=Alto;B1_SemelhApps=Alto;0.372;0.842;1.168
C3_SugestoesBusca=Alto & D4_AdaptaUso=Alto;B1_SemelhApps=Alto;0.372;0.842;1.168
A4_CancelarAcao=Alto & E1_SemDistracao=Alto;E2_InfoVisivel=Alto;0.314;0.964;1.168
A4_CancelarAcao=Alto & E4_HomeRelevante=Alto;E2_InfoVisivel=Alto;0.314;0.964;1.168
D3_GerirPlaylists=Alto & E1_SemDistracao=Alto;E2_InfoVisivel=Alto;0.314;0.964;1.168
E1_SemDistracao=Alto & E4_HomeRelevante=Alto;E2_InfoVisivel=Alto;0.314;0.964;1.168
B4_AcharAposUpd=Alto & C1_SemAcidente=Alto;B2_IconesEsperados=Alto;0.349;0.909;1.167
C2_ControlesPos=Alto & E2_InfoVisivel=Alto;B2_IconesEsperados=Alto;0.233;0.909;1.167
C3_SugestoesBusca=Alto & D2_Recomendacoes=Alto;B2_IconesEsperados=Alto;0.349;0.909;1.167
C4_AvisoPerda=Alto & E4_HomeRelevante=Alto;B2_IconesEsperados=Alto;0.233;0.909;1.167
B4_AcharAposUpd=Alto & E2_InfoVisivel=Alto;B1_SemelhApps=Alto;0.43;0.841;1.166
A5_RespeitaConfig=Alto & E4_HomeRelevante=Alto;E2_InfoVisivel=Alto;0.302;0.963;1.166
B3_LayoutConsist=Alto & E4_HomeRelevante=Alto;E2_InfoVisivel=Alto;0.302;0.963;1.166
B4_AcharAposUpd=Alto & E4_HomeRelevante=Alto;E2_InfoVisivel=Alto;0.302;0.963;1.166
C4_AvisoPerda=Alto & D3_GerirPlaylists=Alto;E2_InfoVisivel=Alto;0.302;0.963;1.166
B4_AcharAposUpd=Alto & C4_AvisoPerda=Alto;B1_SemelhApps=Alto;0.244;0.84;1.165
C4_AvisoPerda=Alto & D4_AdaptaUso=Alto;B1_SemelhApps=Alto;0.244;0.84;1.165
D2_Recomendacoes=Alto;B2_IconesEsperados=Alto;0.453;0.907;1.164
C1_SemAcidente=Alto & D4_AdaptaUso=Alto;B1_SemelhApps=Alto;0.302;0.839;1.163
D2_Recomendacoes=Alto & D4_AdaptaUso=Alto;B2_IconesEsperados=Alto;0.337;0.906;1.163
D2_Recomendacoes=Alto & E3_Estetica=Alto;B2_IconesEsperados=Alto;0.337;0.906;1.163
E1_SemDistracao=Alto & E3_Estetica=Alto;B2_IconesEsperados=Alto;0.337;0.906;1.163
A4_CancelarAcao=Alto & C4_AvisoPerda=Alto;E2_InfoVisivel=Alto;0.279;0.96;1.163
B4_AcharAposUpd=Alto & C4_AvisoPerda=Alto;E2_InfoVisivel=Alto;0.279;0.96;1.163
C1_SemAcidente=Alto & E4_HomeRelevante=Alto;E2_InfoVisivel=Alto;0.279;0.96;1.163
C4_AvisoPerda=Alto & D4_AdaptaUso=Alto;E2_InfoVisivel=Alto;0.279;0.96;1.163
D3_GerirPlaylists=Alto & D4_AdaptaUso=Alto;B1_SemelhApps=Alto;0.36;0.838;1.162
C2_ControlesPos=Neutro;B2_IconesEsperados=Alto;0.221;0.905;1.161
C1_SemAcidente=Alto & E2_InfoVisivel=Alto;B2_IconesEsperados=Alto;0.442;0.905;1.161
E1_SemDistracao=Baixo & E2_InfoVisivel=Alto;B2_IconesEsperados=Alto;0.221;0.905;1.161
D2_Recomendacoes=Alto;B1_SemelhApps=Alto;0.419;0.837;1.161
C1_SemAcidente=Alto & E1_SemDistracao=Alto;E2_InfoVisivel=Alto;0.267;0.958;1.161
D2_Recomendacoes=Alto & E1_SemDistracao=Alto;E2_InfoVisivel=Alto;0.267;0.958;1.161
D2_Recomendacoes=Alto & E4_HomeRelevante=Alto;E2_InfoVisivel=Alto;0.267;0.958;1.161
D1_AcoesRapidas=Alto & E2_InfoVisivel=Alto;B2_IconesEsperados=Alto;0.547;0.904;1.16
B2_IconesEsperados=Alto & C3_SugestoesBusca=Alto;E2_InfoVisivel=Alto;0.523;0.957;1.16
A5_RespeitaConfig=Alto & B2_IconesEsperados=Alto;E2_InfoVisivel=Alto;0.512;0.957;1.159
A4_CancelarAcao=Alto;E2_InfoVisivel=Alto;0.5;0.956;1.157
B3_LayoutConsist=Alto;E2_InfoVisivel=Alto;0.5;0.956;1.157
B2_IconesEsperados=Alto & D5_TelasLimpas=Alto;E2_InfoVisivel=Alto;0.244;0.955;1.156
C4_AvisoPerda=Alto & E4_HomeRelevante=Alto;E2_InfoVisivel=Alto;0.244;0.955;1.156
D5_TelasLimpas=Alto & E3_Estetica=Alto;E2_InfoVisivel=Alto;0.244;0.955;1.156
B4_AcharAposUpd=Alto;B1_SemelhApps=Alto;0.465;0.833;1.156
E3_Estetica=Alto;B1_SemelhApps=Alto;0.523;0.833;1.156
A5_RespeitaConfig=Alto & E3_Estetica=Alto;B1_SemelhApps=Alto;0.407;0.833;1.156
C1_SemAcidente=Alto & E2_InfoVisivel=Alto;B1_SemelhApps=Alto;0.407;0.833;1.156
C4_AvisoPerda=Alto & E3_Estetica=Alto;B1_SemelhApps=Alto;0.291;0.833;1.156
D2_Recomendacoes=Alto & D3_GerirPlaylists=Alto;B1_SemelhApps=Alto;0.291;0.833;1.156
D2_Recomendacoes=Alto & E1_SemDistracao=Alto;B1_SemelhApps=Alto;0.233;0.833;1.156
D2_Recomendacoes=Alto & E4_HomeRelevante=Alto;B1_SemelhApps=Alto;0.233;0.833;1.156
D5_TelasLimpas=Alto & E2_InfoVisivel=Alto;B1_SemelhApps=Alto;0.233;0.833;1.156
D1_AcoesRapidas=Alto & E1_SemDistracao=Alto;B2_IconesEsperados=Alto;0.314;0.9;1.155
D4_AdaptaUso=Alto & E1_SemDistracao=Alto;B2_IconesEsperados=Alto;0.314;0.9;1.155
A5_RespeitaConfig=Alto & B1_SemelhApps=Alto;E2_InfoVisivel=Alto;0.477;0.953;1.155
B1_SemelhApps=Alto & D5_TelasLimpas=Alto;E2_InfoVisivel=Alto;0.233;0.952;1.154
A5_RespeitaConfig=Alto & B4_AcharAposUpd=Alto;B2_IconesEsperados=Alto;0.407;0.897;1.152
B1_SemelhApps=Alto & C4_AvisoPerda=Alto;B2_IconesEsperados=Alto;0.302;0.897;1.151
C3_SugestoesBusca=Alto & E4_HomeRelevante=Alto;B2_IconesEsperados=Alto;0.302;0.897;1.151
A1_VoltarTela=Alto & B1_SemelhApps=Alto;E2_InfoVisivel=Alto;0.221;0.95;1.151
B1_SemelhApps=Alto & C5_TocaRapido=Alto;E2_InfoVisivel=Alto;0.221;0.95;1.151
B2_IconesEsperados=Alto & C1_SemAcidente=Alto;E2_InfoVisivel=Alto;0.442;0.95;1.151
C4_AvisoPerda=Alto & D2_Recomendacoes=Alto;E2_InfoVisivel=Alto;0.221;0.95;1.151
D1_AcoesRapidas=Alto & D4_AdaptaUso=Alto;E2_InfoVisivel=Alto;0.442;0.95;1.151
A5_RespeitaConfig=Alto & C3_SugestoesBusca=Alto;B1_SemelhApps=Alto;0.395;0.829;1.15
B4_AcharAposUpd=Alto;B2_IconesEsperados=Alto;0.5;0.896;1.15
B1_SemelhApps=Alto & D1_AcoesRapidas=Alto;B2_IconesEsperados=Alto;0.5;0.896;1.15
A5_RespeitaConfig=Alto & C1_SemAcidente=Alto;B1_SemelhApps=Alto;0.337;0.829;1.149
C4_AvisoPerda=Alto & E2_InfoVisivel=Alto;B1_SemelhApps=Alto;0.337;0.829;1.149
B2_IconesEsperados=Alto & D2_Recomendacoes=Alto;E2_InfoVisivel=Alto;0.43;0.949;1.149
D3_GerirPlaylists=Alto & E3_Estetica=Alto;E2_InfoVisivel=Alto;0.43;0.949;1.149
D4_AdaptaUso=Alto & E3_Estetica=Alto;E2_InfoVisivel=Alto;0.43;0.949;1.149
B4_AcharAposUpd=Alto & E3_Estetica=Alto;B2_IconesEsperados=Alto;0.395;0.895;1.148
C3_SugestoesBusca=Alto & D4_AdaptaUso=Alto;B2_IconesEsperados=Alto;0.395;0.895;1.148
D1_AcoesRapidas=Alto;B1_SemelhApps=Alto;0.558;0.828;1.148
C3_SugestoesBusca=Alto & E4_HomeRelevante=Alto;B1_SemelhApps=Alto;0.279;0.828;1.148
A1_VoltarTela=Alto & D4_AdaptaUso=Alto;E2_InfoVisivel=Alto;0.209;0.947;1.148
A3_DesfazerPlay=Baixo & B1_SemelhApps=Alto;E2_InfoVisivel=Alto;0.209;0.947;1.148
B2_IconesEsperados=Alto & C4_AvisoPerda=Baixo;E2_InfoVisivel=Alto;0.209;0.947;1.148
B3_LayoutConsist=Alto & D1_AcoesRapidas=Alto;E2_InfoVisivel=Alto;0.419;0.947;1.148
B4_AcharAposUpd=Alto & E3_Estetica=Alto;E2_InfoVisivel=Alto;0.419;0.947;1.148
C3_SugestoesBusca=Alto & D4_AdaptaUso=Alto;E2_InfoVisivel=Alto;0.419;0.947;1.148
C4_AvisoPerda=Alto & E1_SemDistracao=Alto;E2_InfoVisivel=Alto;0.209;0.947;1.148
C5_TocaRapido=Alto & D4_AdaptaUso=Alto;E2_InfoVisivel=Alto;0.209;0.947;1.148
C5_TocaRapido=Alto & E3_Estetica=Alto;E2_InfoVisivel=Alto;0.209;0.947;1.148
A5_RespeitaConfig=Alto & E1_SemDistracao=Alto;B2_IconesEsperados=Alto;0.291;0.893;1.146
B4_AcharAposUpd=Alto & D2_Recomendacoes=Alto;B2_IconesEsperados=Alto;0.291;0.893;1.146
C1_SemAcidente=Alto & D2_Recomendacoes=Alto;B2_IconesEsperados=Alto;0.291;0.893;1.146
D3_GerirPlaylists=Alto & E1_SemDistracao=Alto;B2_IconesEsperados=Alto;0.291;0.893;1.146
B5_PrevisivBotoes=Alto;B1_SemelhApps=Alto;0.221;0.826;1.146
D3_GerirPlaylists=Alto;B1_SemelhApps=Alto;0.442;0.826;1.146
A4_CancelarAcao=Alto & D1_AcoesRapidas=Alto;E2_InfoVisivel=Alto;0.407;0.946;1.146
D1_AcoesRapidas=Alto & D2_Recomendacoes=Alto;E2_InfoVisivel=Alto;0.407;0.946;1.146
D3_GerirPlaylists=Alto & D4_AdaptaUso=Alto;E2_InfoVisivel=Alto;0.407;0.946;1.146
B1_SemelhApps=Alto & B2_IconesEsperados=Alto;E2_InfoVisivel=Alto;0.605;0.945;1.145
B2_IconesEsperados=Alto & E2_InfoVisivel=Alto;B1_SemelhApps=Alto;0.605;0.825;1.145
B1_SemelhApps=Alto;B2_IconesEsperados=Alto & E2_InfoVisivel=Alto;0.605;0.839;1.145
D1_AcoesRapidas=Alto & D2_Recomendacoes=Alto;B2_IconesEsperados=Alto;0.384;0.892;1.145
E3_Estetica=Alto;E2_InfoVisivel=Alto;0.593;0.944;1.144
E1_SemDistracao=Alto;E2_InfoVisivel=Alto;0.395;0.944;1.144
A4_CancelarAcao=Alto & C3_SugestoesBusca=Alto;E2_InfoVisivel=Alto;0.395;0.944;1.144
A5_RespeitaConfig=Alto & D4_AdaptaUso=Alto;E2_InfoVisivel=Alto;0.395;0.944;1.144
B1_SemelhApps=Alto & D2_Recomendacoes=Alto;E2_InfoVisivel=Alto;0.395;0.944;1.144
B3_LayoutConsist=Alto & C3_SugestoesBusca=Alto;E2_InfoVisivel=Alto;0.395;0.944;1.144
A4_CancelarAcao=Alto & A5_RespeitaConfig=Alto;E2_InfoVisivel=Alto;0.384;0.943;1.142
A5_RespeitaConfig=Alto & D3_GerirPlaylists=Alto;E2_InfoVisivel=Alto;0.384;0.943;1.142
E1_SemDistracao=Alto;B2_IconesEsperados=Alto;0.372;0.889;1.141
B1_SemelhApps=Alto & E3_Estetica=Alto;B2_IconesEsperados=Alto;0.465;0.889;1.141
B4_AcharAposUpd=Alto & C3_SugestoesBusca=Alto;B2_IconesEsperados=Alto;0.372;0.889;1.141
D1_AcoesRapidas=Alto & E3_Estetica=Alto;B1_SemelhApps=Alto;0.43;0.822;1.141
B3_LayoutConsist=Alto & D3_GerirPlaylists=Alto;E2_InfoVisivel=Alto;0.372;0.941;1.14
B4_AcharAposUpd=Alto & D3_GerirPlaylists=Alto;E2_InfoVisivel=Alto;0.372;0.941;1.14
D3_GerirPlaylists=Alto & E1_SemDistracao=Alto;B1_SemelhApps=Alto;0.267;0.821;1.139
B2_IconesEsperados=Alto;E2_InfoVisivel=Alto;0.733;0.94;1.139
E2_InfoVisivel=Alto;B2_IconesEsperados=Alto;0.733;0.887;1.139
B1_SemelhApps=Alto;B2_IconesEsperados=Alto;0.64;0.887;1.139
B2_IconesEsperados=Alto;B1_SemelhApps=Alto;0.64;0.821;1.139
D4_AdaptaUso=Alto;E2_InfoVisivel=Alto;0.547;0.94;1.139
D3_GerirPlaylists=Alto & E3_Estetica=Alto;B1_SemelhApps=Alto;0.372;0.821;1.138
D4_AdaptaUso=Alto & E3_Estetica=Alto;B1_SemelhApps=Alto;0.372;0.821;1.138
B4_AcharAposUpd=Alto & C1_SemAcidente=Alto;E2_InfoVisivel=Alto;0.36;0.939;1.138
C1_SemAcidente=Alto & D3_GerirPlaylists=Alto;E2_InfoVisivel=Alto;0.36;0.939;1.138
C4_AvisoPerda=Alto & D1_AcoesRapidas=Alto;E2_InfoVisivel=Alto;0.36;0.939;1.138
C2_ControlesPos=Alto;B2_IconesEsperados=Alto & E2_InfoVisivel=Alto;0.233;0.833;1.138
E3_Estetica=Alto;B2_IconesEsperados=Alto & E2_InfoVisivel=Alto;0.523;0.833;1.138
A5_RespeitaConfig=Alto & E2_InfoVisivel=Alto;B1_SemelhApps=Alto;0.477;0.82;1.137
A4_CancelarAcao=Alto & A5_RespeitaConfig=Alto;B2_IconesEsperados=Alto;0.36;0.886;1.137
A5_RespeitaConfig=Alto & C1_SemAcidente=Alto;B2_IconesEsperados=Alto;0.36;0.886;1.137
C4_AvisoPerda=Alto & E2_InfoVisivel=Alto;B2_IconesEsperados=Alto;0.36;0.886;1.137
B1_SemelhApps=Alto & D1_AcoesRapidas=Alto;E2_InfoVisivel=Alto;0.523;0.938;1.136
A4_CancelarAcao=Alto & B4_AcharAposUpd=Alto;E2_InfoVisivel=Alto;0.349;0.938;1.136
A5_RespeitaConfig=Alto & D2_Recomendacoes=Alto;E2_InfoVisivel=Alto;0.349;0.938;1.136
C3_SugestoesBusca=Alto & C4_AvisoPerda=Alto;E2_InfoVisivel=Alto;0.349;0.938;1.136
D1_AcoesRapidas=Alto & E4_HomeRelevante=Alto;E2_InfoVisivel=Alto;0.349;0.938;1.136
C4_AvisoPerda=Alto & E4_HomeRelevante=Alto;B1_SemelhApps=Alto;0.209;0.818;1.135
A4_CancelarAcao=Alto & D3_GerirPlaylists=Alto;E2_InfoVisivel=Alto;0.337;0.935;1.133
D4_AdaptaUso=Alto & E4_HomeRelevante=Alto;E2_InfoVisivel=Alto;0.337;0.935;1.133
E3_Estetica=Alto & E4_HomeRelevante=Alto;E2_InfoVisivel=Alto;0.337;0.935;1.133
E2_InfoVisivel=Alto & E3_Estetica=Alto;B2_IconesEsperados=Alto;0.523;0.882;1.133
D3_GerirPlaylists=Alto;E2_InfoVisivel=Alto;0.5;0.935;1.132
A4_CancelarAcao=Alto & C1_SemAcidente=Alto;E2_InfoVisivel=Alto;0.326;0.933;1.131
C3_SugestoesBusca=Alto & E1_SemDistracao=Alto;E2_InfoVisivel=Alto;0.326;0.933;1.131
D1_AcoesRapidas=Alto & E1_SemDistracao=Alto;E2_InfoVisivel=Alto;0.326;0.933;1.131
D2_Recomendacoes=Alto & D3_GerirPlaylists=Alto;E2_InfoVisivel=Alto;0.326;0.933;1.131
D1_AcoesRapidas=Alto & E3_Estetica=Alto;E2_InfoVisivel=Alto;0.488;0.933;1.131
A5_RespeitaConfig=Alto & E4_HomeRelevante=Alto;B1_SemelhApps=Alto;0.256;0.815;1.13
A3_DesfazerPlay=Baixo & E2_InfoVisivel=Alto;B2_IconesEsperados=Alto;0.256;0.88;1.13
A5_RespeitaConfig=Alto & E2_InfoVisivel=Alto;B2_IconesEsperados=Alto;0.512;0.88;1.13
C1_SemAcidente=Alto & E4_HomeRelevante=Alto;B2_IconesEsperados=Alto;0.256;0.88;1.13
C4_AvisoPerda=Alto & D4_AdaptaUso=Alto;B2_IconesEsperados=Alto;0.256;0.88;1.13
C5_TocaRapido=Alto & E2_InfoVisivel=Alto;B2_IconesEsperados=Alto;0.256;0.88;1.13
D3_GerirPlaylists=Alto & E4_HomeRelevante=Alto;E2_InfoVisivel=Alto;0.314;0.931;1.128
C1_SemAcidente=Alto;B2_IconesEsperados=Alto & E2_InfoVisivel=Alto;0.442;0.826;1.128
A4_CancelarAcao=Alto & B4_AcharAposUpd=Alto;B1_SemelhApps=Alto;0.302;0.812;1.127
A5_RespeitaConfig=Alto & D2_Recomendacoes=Alto;B1_SemelhApps=Alto;0.302;0.812;1.127
B2_IconesEsperados=Alto & C4_AvisoPerda=Alto;B1_SemelhApps=Alto;0.302;0.812;1.127
C3_SugestoesBusca=Alto & C4_AvisoPerda=Alto;B1_SemelhApps=Alto;0.302;0.812;1.127
D2_Recomendacoes=Alto;E2_InfoVisivel=Alto;0.465;0.93;1.127
A4_CancelarAcao=Alto & D2_Recomendacoes=Alto;E2_InfoVisivel=Alto;0.302;0.929;1.125
A5_RespeitaConfig=Alto & C4_AvisoPerda=Alto;E2_InfoVisivel=Alto;0.302;0.929;1.125
A5_RespeitaConfig=Alto & D1_AcoesRapidas=Alto;E2_InfoVisivel=Alto;0.453;0.929;1.125
A5_RespeitaConfig=Alto & E1_SemDistracao=Alto;E2_InfoVisivel=Alto;0.302;0.929;1.125
B4_AcharAposUpd=Alto & D2_Recomendacoes=Alto;E2_InfoVisivel=Alto;0.302;0.929;1.125
C1_SemAcidente=Alto & D2_Recomendacoes=Alto;E2_InfoVisivel=Alto;0.302;0.929;1.125
D1_AcoesRapidas=Alto & D3_GerirPlaylists=Alto;B1_SemelhApps=Alto;0.349;0.811;1.125
A1_VoltarTela=Alto & E2_InfoVisivel=Alto;B2_IconesEsperados=Alto;0.244;0.875;1.123
A5_RespeitaConfig=Alto & D2_Recomendacoes=Alto;B2_IconesEsperados=Alto;0.326;0.875;1.123
C1_SemAcidente=Alto & E1_SemDistracao=Alto;B2_IconesEsperados=Alto;0.244;0.875;1.123
D1_AcoesRapidas=Alto & D4_AdaptaUso=Alto;B2_IconesEsperados=Alto;0.407;0.875;1.123
D1_AcoesRapidas=Alto & E4_HomeRelevante=Alto;B2_IconesEsperados=Alto;0.326;0.875;1.123
D5_TelasLimpas=Alto & E2_InfoVisivel=Alto;B2_IconesEsperados=Alto;0.244;0.875;1.123
A5_RespeitaConfig=Alto & C3_SugestoesBusca=Alto;E2_InfoVisivel=Alto;0.442;0.927;1.123
C5_TocaRapido=Alto;E2_InfoVisivel=Alto;0.291;0.926;1.122
B1_SemelhApps=Alto & B4_AcharAposUpd=Alto;E2_InfoVisivel=Alto;0.43;0.925;1.12
C3_SugestoesBusca=Alto & E3_Estetica=Alto;E2_InfoVisivel=Alto;0.43;0.925;1.12
D4_AdaptaUso=Alto & E2_InfoVisivel=Alto;B2_IconesEsperados=Alto;0.477;0.872;1.12
C3_SugestoesBusca=Alto;B1_SemelhApps=Alto;0.535;0.807;1.119
D4_AdaptaUso=Alto;B2_IconesEsperados=Alto & E2_InfoVisivel=Alto;0.477;0.82;1.119
B4_AcharAposUpd=Alto & D1_AcoesRapidas=Alto;B2_IconesEsperados=Alto;0.395;0.872;1.119
C1_SemAcidente=Alto & D1_AcoesRapidas=Alto;B2_IconesEsperados=Alto;0.395;0.872;1.119
D4_AdaptaUso=Alto & E4_HomeRelevante=Alto;B1_SemelhApps=Alto;0.291;0.806;1.119
A1_VoltarTela=Alto;E2_InfoVisivel=Alto;0.279;0.923;1.118
A5_RespeitaConfig=Alto & B4_AcharAposUpd=Alto;E2_InfoVisivel=Alto;0.419;0.923;1.118
B4_AcharAposUpd=Alto & E1_SemDistracao=Alto;E2_InfoVisivel=Alto;0.279;0.923;1.118
C1_SemAcidente=Alto & D1_AcoesRapidas=Alto;E2_InfoVisivel=Alto;0.419;0.923;1.118
A4_CancelarAcao=Alto & D3_GerirPlaylists=Alto;B2_IconesEsperados=Alto;0.314;0.871;1.118
A4_CancelarAcao=Alto & D4_AdaptaUso=Alto;B2_IconesEsperados=Alto;0.314;0.871;1.118
C1_SemAcidente=Alto & D4_AdaptaUso=Alto;B2_IconesEsperados=Alto;0.314;0.871;1.118
D4_AdaptaUso=Alto & E4_HomeRelevante=Alto;B2_IconesEsperados=Alto;0.314;0.871;1.118
E3_Estetica=Alto & E4_HomeRelevante=Alto;B2_IconesEsperados=Alto;0.314;0.871;1.118
A5_RespeitaConfig=Alto & D4_AdaptaUso=Alto;B1_SemelhApps=Alto;0.337;0.806;1.117
C1_SemAcidente=Alto;B2_IconesEsperados=Alto;0.465;0.87;1.116
B1_SemelhApps=Alto & C3_SugestoesBusca=Alto;B2_IconesEsperados=Alto;0.465;0.87;1.116
A5_RespeitaConfig=Alto & B2_IconesEsperados=Alto;B1_SemelhApps=Alto;0.43;0.804;1.116
C4_AvisoPerda=Alto;E2_InfoVisivel=Alto;0.407;0.921;1.116
B1_SemelhApps=Alto & D3_GerirPlaylists=Alto;B2_IconesEsperados=Alto;0.384;0.868;1.115
C1_SemAcidente=Alto & E3_Estetica=Alto;B2_IconesEsperados=Alto;0.384;0.868;1.115
B2_IconesEsperados=Alto & E4_HomeRelevante=Baixo;E2_InfoVisivel=Alto;0.267;0.92;1.114
C4_AvisoPerda=Alto;B2_IconesEsperados=Alto & E2_InfoVisivel=Alto;0.36;0.816;1.114
E2_InfoVisivel=Alto;B1_SemelhApps=Alto;0.663;0.803;1.114
B1_SemelhApps=Alto;E2_InfoVisivel=Alto;0.663;0.919;1.114
C3_SugestoesBusca=Alto & D3_GerirPlaylists=Alto;E2_InfoVisivel=Alto;0.395;0.919;1.113
D1_AcoesRapidas=Alto & D3_GerirPlaylists=Alto;E2_InfoVisivel=Alto;0.395;0.919;1.113
C4_AvisoPerda=Alto & E3_Estetica=Alto;B2_IconesEsperados=Alto;0.302;0.867;1.112
D2_Recomendacoes=Alto & D3_GerirPlaylists=Alto;B2_IconesEsperados=Alto;0.302;0.867;1.112
C5_TocaRapido=Alto;B2_IconesEsperados=Alto & E2_InfoVisivel=Alto;0.256;0.815;1.112
B4_AcharAposUpd=Alto;E2_InfoVisivel=Alto;0.512;0.917;1.11
C2_ControlesPos=Alto;E2_InfoVisivel=Alto;0.256;0.917;1.11
A3_DesfazerPlay=Baixo & B2_IconesEsperados=Alto;E2_InfoVisivel=Alto;0.256;0.917;1.11
E4_HomeRelevante=Alto;E2_InfoVisivel=Alto;0.384;0.917;1.11
A5_RespeitaConfig=Alto & C1_SemAcidente=Alto;E2_InfoVisivel=Alto;0.372;0.914;1.107
D3_GerirPlaylists=Alto & E4_HomeRelevante=Alto;B2_IconesEsperados=Alto;0.291;0.862;1.107
D1_AcoesRapidas=Alto;B2_IconesEsperados=Alto & E2_InfoVisivel=Alto;0.547;0.81;1.106
C1_SemAcidente=Alto;E2_InfoVisivel=Alto;0.488;0.913;1.106
B1_SemelhApps=Alto & C3_SugestoesBusca=Alto;E2_InfoVisivel=Alto;0.488;0.913;1.106
E4_HomeRelevante=Alto;B2_IconesEsperados=Alto;0.36;0.861;1.105
A5_RespeitaConfig=Alto & B1_SemelhApps=Alto;B2_IconesEsperados=Alto;0.43;0.86;1.104
C1_SemAcidente=Alto & C3_SugestoesBusca=Alto;E2_InfoVisivel=Alto;0.36;0.912;1.104
A1_VoltarTela=Alto;B2_IconesEsperados=Alto & E2_InfoVisivel=Alto;0.244;0.808;1.103
A5_RespeitaConfig=Alto;E2_InfoVisivel=Alto;0.581;0.909;1.101
C3_SugestoesBusca=Alto & D2_Recomendacoes=Alto;E2_InfoVisivel=Alto;0.349;0.909;1.101
A5_RespeitaConfig=Alto & C4_AvisoPerda=Alto;B2_IconesEsperados=Alto;0.279;0.857;1.1
A5_RespeitaConfig=Alto & D1_AcoesRapidas=Alto;B2_IconesEsperados=Alto;0.419;0.857;1.1
A5_RespeitaConfig=Alto & E3_Estetica=Alto;B2_IconesEsperados=Alto;0.419;0.857;1.1
C1_SemAcidente=Alto & C4_AvisoPerda=Alto;B2_IconesEsperados=Alto;0.279;0.857;1.1
B1_SemelhApps=Alto & E4_HomeRelevante=Baixo;E2_InfoVisivel=Alto;0.221;0.905;1.096
B2_IconesEsperados=Alto & E1_SemDistracao=Baixo;E2_InfoVisivel=Alto;0.221;0.905;1.096
A5_RespeitaConfig=Alto & C3_SugestoesBusca=Alto;B2_IconesEsperados=Alto;0.407;0.854;1.096
E2_InfoVisivel=Alto & E4_HomeRelevante=Baixo;B2_IconesEsperados=Alto;0.267;0.852;1.093
A5_RespeitaConfig=Alto;B2_IconesEsperados=Alto & E2_InfoVisivel=Alto;0.512;0.8;1.092
C3_SugestoesBusca=Alto & E3_Estetica=Alto;B2_IconesEsperados=Alto;0.395;0.85;1.091
A5_RespeitaConfig=Alto & C5_TocaRapido=Alto;E2_InfoVisivel=Alto;0.209;0.9;1.09
C2_ControlesPos=Alto & E3_Estetica=Alto;E2_InfoVisivel=Alto;0.209;0.9;1.09
C3_SugestoesBusca=Alto & C5_TocaRapido=Alto;E2_InfoVisivel=Alto;0.209;0.9;1.09
C1_SemAcidente=Alto & D3_GerirPlaylists=Alto;B2_IconesEsperados=Alto;0.326;0.848;1.089
B4_AcharAposUpd=Alto & D1_AcoesRapidas=Alto;E2_InfoVisivel=Alto;0.407;0.897;1.087
